TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON_ID
1610612761,Toronto Raptors,10,4,6,0.4,485.0,110.1,111.4,112.5,116.4,-2.4,-4.9,0.56,1.56,16.8,0.272,0.719,0.496,0.145,0.536,0.578,97.3,95.16,79.3,963,0.469,6,8,12,10,6,2,16,12,9,11,9,5,12,10,13,4,3,10,13,2017-18
1610612762,Utah Jazz,11,5,6,0.455,528.0,102.9,104.3,104.4,106.1,-1.5,-1.8,0.537,1.3,15.5,0.255,0.754,0.507,0.158,0.52,0.549,99.8,98.36,81.97,1080,0.488,5,5,12,7,5,13,4,9,12,15,11,10,5,5,16,6,9,6,9,2017-18
1610612764,Washington Wizards,6,2,4,0.333,288.0,106.7,109.7,110.2,110.8,-3.5,-1.1,0.588,1.73,17.5,0.279,0.736,0.504,0.138,0.513,0.561,99.8,98.08,81.74,586,0.498,11,11,1,11,11,4,10,7,6,6,5,3,9,7,7,9,6,7,7,2017-18
1610612738,Boston Celtics,9,5,4,0.556,432.0,100.0,101.4,101.8,103.0,-1.8,-1.5,0.601,1.45,16.1,0.229,0.783,0.514,0.147,0.491,0.539,101.9,100.61,83.84,906,0.502,8,8,1,5,8,12,2,8,8,13,12,15,2,4,10,11,10,5,6,2018-19
1610612751,Brooklyn Nets,5,1,4,0.2,240.0,103.9,105.7,113.3,115.9,-9.4,-10.2,0.5,1.35,13.8,0.258,0.643,0.441,0.135,0.48,0.534,107.6,105.5,87.92,527,0.413,11,11,1,11,11,10,14,14,15,14,16,12,16,16,8,12,12,1,14,2018-19
1610612743,Denver Nuggets,14,7,7,0.5,692.0,111.3,113.3,109.5,111.1,1.8,2.2,0.601,2.45,17.6,0.311,0.703,0.505,0.102,0.496,0.539,95.1,93.68,78.06,1349,0.518,5,5,13,7,5,2,10,6,9,2,4,2,12,6,2,10,11,15,5,2018-19
1610612765,Detroit Pistons,4,0,4,0.0,192.0,94.4,96.8,117.8,120.5,-23.4,-23.8,0.613,2.19,16.5,0.248,0.727,0.452,0.104,0.444,0.471,103.5,101.13,84.27,405,0.354,15,15,1,15,15,14,16,16,7,3,10,13,7,14,3,16,16,3,16,2018-19
1610612744,Golden State Warriors,22,14,8,0.636,1066.0,112.3,114.6,108.6,111.5,3.7,3.1,0.691,1.91,20.0,0.301,0.714,0.513,0.15,0.548,0.589,100.9,98.57,82.14,2192,0.536,2,2,14,3,2,1,11,4,1,5,1,4,11,5,11,1,1,9,3,2018-19
1610612745,Houston Rockets,11,6,5,0.545,533.0,107.8,110.5,104.4,107.4,3.4,3.0,0.491,1.16,14.1,0.287,0.687,0.491,0.161,0.537,0.574,99.8,97.26,81.05,1081,0.497,7,7,10,6,7,6,6,5,16,16,15,7,15,9,14,2,2,10,7,2018-19
1610612754,Indiana Pacers,4,0,4,0.0,192.0,95.1,95.8,101.2,103.9,-6.1,-8.1,0.619,1.73,16.4,0.196,0.737,0.451,0.125,0.461,0.496,97.3,95.63,79.69,383,0.454,15,15,1,15,15,16,3,11,6,7,11,16,6,15,5,13,15,14,12,2018-19
1610612746,LA Clippers,6,2,4,0.333,288.0,107.3,111.5,119.3,120.5,-12.0,-9.0,0.636,1.69,17.7,0.293,0.714,0.49,0.146,0.511,0.563,105.6,103.08,85.9,617,0.431,10,10,1,10,10,3,15,12,3,8,3,6,10,11,9,6,3,2,13,2018-19
1610612749,Milwaukee Bucks,15,10,5,0.667,730.0,109.0,110.7,100.2,101.9,8.8,8.8,0.628,1.92,17.8,0.259,0.776,0.526,0.128,0.523,0.56,102.2,100.57,83.81,1528,0.555,4,3,10,1,4,4,1,1,4,4,2,11,3,2,6,3,5,6,1,2018-19
1610612760,Oklahoma City Thunder,5,1,4,0.2,240.0,103.0,104.4,107.6,109.9,-4.6,-5.5,0.598,1.49,16.6,0.264,0.701,0.482,0.151,0.5,0.541,102.7,100.9,84.08,504,0.482,11,11,1,11,11,11,8,10,11,11,9,9,13,13,12,9,8,4,9,2018-19
1610612753,Orlando Magic,5,1,4,0.2,240.0,93.1,95.8,110.1,111.5,-17.0,-15.7,0.59,1.22,14.7,0.26,0.796,0.505,0.163,0.451,0.496,97.7,95.7,79.75,480,0.399,11,11,1,11,11,15,12,15,12,15,13,10,1,7,15,15,14,13,15,2018-19
1610612755,Philadelphia 76ers,12,7,5,0.583,576.0,106.2,109.1,104.5,106.0,1.8,3.1,0.619,1.48,17.5,0.319,0.752,0.541,0.166,0.514,0.559,101.7,99.63,83.02,1195,0.538,6,5,10,4,6,9,5,3,5,12,5,1,4,1,16,5,6,7,2,2018-19
1610612757,Portland Trail Blazers,16,8,8,0.5,793.0,106.7,109.5,109.7,110.6,-3.0,-1.1,0.501,1.53,14.6,0.298,0.691,0.491,0.129,0.501,0.541,98.8,97.15,80.96,1603,0.471,3,4,14,7,3,8,9,7,14,9,14,5,14,10,7,8,9,11,11,2018-19
1610612759,San Antonio Spurs,7,3,4,0.429,336.0,111.1,110.7,110.8,113.1,0.3,-2.3,0.536,2.51,16.6,0.264,0.726,0.499,0.09,0.503,0.542,93.9,93.14,77.62,653,0.493,9,9,1,9,9,5,13,9,13,1,8,8,8,8,1,7,7,16,8,2018-19
1610612761,Toronto Raptors,24,16,8,0.667,1162.0,107.9,109.8,101.4,104.2,6.5,5.6,0.598,1.87,17.2,0.239,0.719,0.483,0.124,0.515,0.561,98.4,96.25,80.21,2330,0.524,1,1,14,1,1,7,4,2,10,6,6,14,9,12,4,4,4,12,4,2018-19
1610612762,Utah Jazz,5,1,4,0.2,240.0,96.8,99.2,105.4,108.5,-8.6,-9.3,0.665,1.51,16.7,0.305,0.742,0.516,0.154,0.455,0.501,101.3,98.6,82.17,493,0.473,11,11,1,11,11,13,7,13,2,10,7,3,5,3,13,14,13,8,10,2018-19
1610612738,Boston Celtics,17,10,7,0.588,831.0,108.5,111.6,103.5,106.3,5.0,5.3,0.587,1.62,17.0,0.261,0.747,0.514,0.142,0.527,0.572,99.0,96.32,80.26,1666,0.531,4,3,13,4,4,7,2,2,8,10,9,6,9,3,10,10,7,13,2,2019-20
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,98.6,102.4,121.3,122.9,-22.7,-20.4,0.71,1.78,17.9,0.264,0.764,0.488,0.14,0.482,0.518,105.7,103.0,85.83,413,0.388,14,14,1,14,14,14,16,16,1,4,4,5,5,12,9,15,15,2,16,2019-20
